Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,
62,Youri Tielemans,be BEL,"MF,FW",Aston Villa,26-313,1997,24,10,"1,055",11.7,1,4,5,1,0,0,1,0,1.1,1.1,1.8,2.9,16,85,43,0.09,0.34,0.43,0.09,0.43,0.09,0.16,0.25,0.09,0.25,Matches,
63,Luke Thomas,eng ENG,DF,Sheffield Utd,22-279,2001,12,11,917,10.2,0,0,0,0,0,0,3,0,0.5,0.5,0.1,0.6,8,33,22,0,0,0,0,0,0.05,0,0.06,0.05,0.06,Matches,
64,Kenny Tete,nl NED,DF,Fulham,28-158,1995,10,8,672,7.5,1,0,1,1,0,0,2,0,0.8,0.8,0.1,0.9,15,35,33,0.13,0,0.13,0.13,0.13,0.1,0.01,0.12,0.1,0.12,Matches,
65,Charlie Taylor,eng ENG,DF,Burnley,30-179,1993,20,19,"1,723",19.1,1,1,2,1,0,0,6,0,0.1,0.1,0.9,1,21,60,42,0.05,0.05,0.1,0.05,0.1,0.01,0.05,0.05,0.01,0.05,Matches,
66,Marcus Tavernier,eng ENG,FW,Bournemouth,24-359,1999,25,21,"1,815",20.2,2,4,6,2,0,0,2,0,3.6,3.6,4.9,8.5,73,74,148,0.1,0.2,0.3,0.1,0.3,0.18,0.24,0.42,0.18,0.42,Matches,
67,Nuno Tavares,pt POR,DF,Nott'ham Forest,24-049,2000,7,5,455,5.1,0,0,0,0,0,0,2,0,0.2,0.2,0.5,0.7,14,24,12,0,0,0,0,0,0.03,0.1,0.13,0.03,0.13,Matches,
68,James Tarkowski,eng ENG,DF,Everton,31-117,1992,28,28,"2,519",28,1,1,2,1,0,0,5,0,2.2,2.2,1.8,4,14,106,17,0.04,0.04,0.07,0.04,0.07,0.08,0.06,0.14,0.08,0.14,Matches,
69,Matt Targett,eng ENG,DF,Newcastle Utd,28-179,1995,3,1,78,0.9,0,0,0,0,0,0,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0.03,0.03,0,0.03,Matches,
70,Dominik Szoboszlai,hu HUN,MF,Liverpool,23-142,2000,23,21,"1,732",19.2,3,2,5,3,0,0,1,0,2.4,2.4,4.3,6.7,60,124,122,0.16,0.1,0.26,0.16,0.26,0.12,0.22,0.35,0.12,0.35,Matches,
71,Thomas Strakosha,al ALB,GK,Brentford,28-362,1995,2,1,135,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,
